pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
73,9472, problème,▁problème,OK,"(9472,)",0.045121922592322034,0.6384267035930875,False,0.021412009994188946,0.022205255925655365,-0.002329474687576292,0.4583333333333333,-0.020138445496559142,-0.012112965186436972,0.041666666666666664,0.871295692864569,0.9558823529411766,0.2862663335270351,0.34523809523809523,0.006922274827957098,0.0,0.0,0.0
74,9633, bitte,▁bitte,OK,"(9633,)",0.044437946379184724,0.6385782961807553,False,0.01941407968600591,0.019437946379184723,0.004310202598571777,0.5,-0.019663244485855103,-0.007777000466982524,0.041666666666666664,0.8820080518876441,0.9705882352941176,0.35286401046646965,0.28571428571428564,0.0,0.0,0.0,0.0
75,904,men,men,OK,"(904,)",0.04404863168795904,0.6408392611950162,False,0.02113196502129237,0.02113196502129237,0.004746538400650025,0.4583333333333333,-0.019908925890922545,-0.0019381145636240642,0.020833333333333332,0.8541636064466046,0.9529411764705882,0.295601165956921,0.34523809523809523,0.0,0.0,0.0,0.0
76,26292, menschliche,▁menschliche,OK,"(26292,)",0.050879505525032676,0.6417917346670513,False,0.023787211626768112,0.023796172191699345,0.004602053761482239,0.5416666666666666,-0.024170166254043578,-0.0031522512435913086,0.041666666666666664,0.8471604078138987,0.976470588235294,0.20709294577439624,0.2261904761904762,0.20850831270217887,0.0,0.0,0.0
77,6177, tie,▁tie,OK,"(6177,)",0.04881093253691991,0.6428293935836306,False,0.021689529220263164,0.02172759920358658,0.00566425919532776,0.5416666666666666,-0.0227924644947052,-0.009196504950523376,0.041666666666666664,0.8638669515762099,0.961764705882353,0.2770156926578945,0.2261904761904762,0.13962322473525993,0.0,0.0,0.0
78,20961,KING,KING,OK,"(20961,)",0.05747393394509952,0.6461848945371687,False,0.026223933945099514,0.026223933945099514,0.009409713745117189,0.625,-0.023263463377952577,-0.009685824314753214,0.0625,0.8098111472106655,0.9558823529411766,0.12586886849668283,0.10714285714285708,0.16317316889762884,0.24999999999999994,0.0,0.0
79,5206,rick,rick,OK,"(5206,)",0.046367304523785915,0.6462644825852106,False,0.023004261155923206,0.023450637857119244,0.006727820634841919,0.4583333333333333,-0.021356701850891113,-0.008345149457454681,0.041666666666666664,0.8624791715279622,0.976470588235294,0.23319129480255976,0.34523809523809523,0.06783509254455564,0.0,0.0,0.0
80,8787, Abs,▁Abs,OK,"(8787,)",0.043594636023044586,0.6466206818345992,False,0.022761302689711254,0.022761302689711254,0.0058139413595199585,0.4166666666666667,-0.020011377334594727,-0.008391181627909342,0.041666666666666664,0.8891191606659338,0.976470588235294,0.24128991034295816,0.4047619047619047,0.000568866729736342,0.0,0.0,0.0
81,1722, physical,▁physical,OK,"(1722,)",0.044118163734674455,0.6484750265639925,False,0.019117177774508793,0.019118163734674454,0.002623239159584046,0.5,-0.01801937520503998,-0.006339530150095622,0.020833333333333332,0.8693946063298177,0.976470588235294,0.3627607408497069,0.28571428571428564,0.0,0.0,0.0,0.0
82,16771, posture,▁posture,OK,"(16771,)",0.043866755565007534,0.6491920243179987,False,0.020881382127602894,0.020950088898340862,0.0029350876808166507,0.4583333333333333,-0.018024852871894835,-0.009585388004779816,0.020833333333333332,0.8620831922383737,0.9941176470588234,0.3039539290799035,0.34523809523809523,0.0,0.0,0.0,0.0
