rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
369,"0,129,134,39,159","30332,17,28448,2951,3077",lucrareat senzatichesige,0.1126808653275172,0.0,True,0.0626808653275172,0.0626808653275172,0.04138263463973999,1.0,-0.013287538290023803,0.003764572242895762,0.0,0.789123892348283,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
370,"0,189,134,147,215","30332,10646,28448,18956,6520",lucrareatial senzatiriusrib,0.11264735509951909,0.0,True,0.06264735509951909,0.06264735509951909,0.04638201594352722,1.0,-0.012746351957321166,0.003457866609096527,0.0,0.8237955456266558,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
371,"0,133,10,39,180","30332,121,15854,2951,31797","lucrarea"" realmchesscrisă",0.11260502586762111,0.0,True,0.06260502586762111,0.06260502586762111,0.04459263682365418,1.0,-0.01690122187137604,-0.0032284831007321677,0.020833333333333332,0.8029956720930238,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
372,"0,169,105,215,159","30332,680,10924,6520,3077",lucrarea sieissentribige,0.11249604374170304,0.0,True,0.06249604374170303,0.06249604374170303,0.045503145456314086,1.0,-0.013942357897758485,0.0025384053587913513,0.0,0.8186712031124436,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
373,"0,41,35,147,180","30332,3852,14797,18956,31797",lucrarea repgraphicriusscrisă,0.1124471331636111,0.0,True,0.06244713316361109,0.06244713316361109,0.046571725606918336,1.0,-0.012743067741394042,0.0025154277682304382,0.0,0.8013297030857748,0.9823529411764707,0.0,0.0,0.0,0.0,0.0,0.0
374,"0,133,151,215,169","30332,121,1110,6520,680","lucrarea"" seinrib sie",0.11239212056001027,0.0,True,0.06239212056001028,0.06239212056001028,0.04564566612243652,1.0,-0.015101850032806396,0.0011469622453053792,0.020833333333333332,0.8284039572302229,0.988235294117647,0.0,0.0,0.0,0.0,0.0,0.0
375,"0,31,105,215,54","30332,8221,10924,6520,7818",lucrareaimageissentribroc,0.11234947095314662,0.0,True,0.062349470953146614,0.062349470953146614,0.046056509017944336,1.0,-0.013810786604881286,0.0009257122874259949,0.020833333333333332,0.7857467216118164,0.9852941176470588,0.0,0.0,0.0,0.0,0.0,0.0
376,"0,133,35,200,158","30332,121,14797,3404,17319","lucrarea""graphicwareenţă",0.11215798358122508,0.0,True,0.062157983581225075,0.062157983581225075,0.04629756212234497,1.0,-0.01590266227722168,-0.0018508012096087139,0.0,0.803114620257791,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
377,"0,133,105,215,90","30332,121,10924,6520,23060","lucrarea""issentrib răspunde",0.11215475747982662,0.0,True,0.06215475747982661,0.06215475747982661,0.04386227130889893,1.0,-0.01571953296661377,-0.001916535198688507,0.020833333333333332,0.8092073752802248,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
378,"0,169,188,215,54","30332,680,29904,6520,7818",lucrarea sieweiligeribroc,0.1120980312426885,0.0,True,0.0620980312426885,0.0620980312426885,0.045059144496917725,1.0,-0.018097829818725587,-0.0006012320518493652,0.020833333333333332,0.775587807326821,0.9647058823529412,0.0,0.0,0.0,0.0,0.0,0.0
379,"0,129,35,39,180","30332,17,14797,2951,31797",lucrareatgraphicchesscrisă,0.1120322972536087,0.0,True,0.062032297253608704,0.062032297253608704,0.04510766267776489,1.0,-0.013954082131385803,0.003822686771551768,0.0,0.8309601463440652,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
380,"0,219,105,215,158","30332,25895,10924,6520,17319",lucrareafloodedissentribenţă,0.11201600780089696,0.0,True,0.062016007800896965,0.062016007800896965,0.03804246187210083,1.0,-0.018118923902511595,-0.000844515860080719,0.0,0.8119517510428034,0.9705882352941176,0.0,0.0,0.0,0.0,0.0,0.0
381,"0,129,157,147,90","30332,17,27499,18956,23060",lucrareatizantrius răspunde,0.11198011587063472,0.0,True,0.06198011587063471,0.06198011587063471,0.04236658811569214,1.0,-0.015975838899612425,0.0009295592705408732,0.0,0.7832818470203099,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
